percentile,empirical_t,DF_tau_mu,emp_minus_tab
1,-3.3982576285481,-3.46,0.0617423714519032
5,-2.87383125745099,-2.88,0.00616874254900734
10,-2.56634033722485,-2.57,0.00365966277515195
