percentile,empirical_t
1,-3.3982576285481
5,-2.87383125745099
10,-2.56634033722485
25,-2.09311575204865
50,-1.56862273718651
75,-0.994597276564794
90,-0.3948825072727
95,-0.027991031585354
99,0.645390469847719
