t_f,rho_f
-15.376863020968,-0.980020066972008
-15.5049165649517,-0.988275615197993
-15.2591222335446,-0.972551770720216
-14.7014121975308,-0.936039550900644
-17.2066326724269,-1.08562882783641
-15.7015916354241,-1.00011921637685
-14.3925877295717,-0.915898925260215
-17.2328509857061,-1.09661501953263
-14.8694180308528,-0.950516492404653
-16.2659100537646,-1.03258785985906
-14.7769406420482,-0.937225841615598
-15.5334991630484,-0.988428727380128
-16.1953287720439,-1.03073307220831
-14.5923800103356,-0.925029705513498
-15.4170134468514,-0.979451476007507
-15.4432633783698,-0.9890330931781
-15.6927795202141,-1.00170543983036
-16.0907319336701,-1.01942206243132
-15.2600793687514,-0.970362596243845
-15.7467704843875,-1.00575539262879
-15.6806178748223,-0.999425078831565
-15.7106314721698,-1.00206157122015
-16.3610246322441,-1.05343133197258
-16.3585104371822,-1.03675798298676
-15.588732007095,-0.995343425448759
-15.17050319572,-0.963515347912791
-15.6847969224893,-1.00820470206439
-16.5772518060062,-1.05296807958272
-14.5733867667031,-0.921639460592648
-17.6182946137562,-1.11316897585341
-15.1849274549015,-0.966142119756759
-15.0088264321819,-0.958140889416493
-16.2237320684783,-1.03500086169412
-17.2016970685031,-1.09142793690429
-16.6766821456062,-1.06195324601452
-15.1982630774436,-0.968942837713434
-15.161956168516,-0.974242670844591
-14.8570014863526,-0.945258978602906
-16.0441908521426,-1.0227102463221
-17.1183060454027,-1.08804967762038
-15.7469780196507,-1.00525792237172
-14.8780271086251,-0.948048532564684
-14.874849618081,-0.944722313947021
-16.4914068069684,-1.0513935875812
-15.0057560546551,-0.972848938075001
-16.577658327231,-1.05456737590759
-15.9761517241277,-1.01799768919872
-15.5831509426629,-0.995574347270241
-15.4976477900722,-0.993392290237637
-14.82424393512,-0.942356876723169
-16.4377987822646,-1.04685429651356
-16.5728125369201,-1.05453167160831
-15.7108223161665,-1.00221032979603
-15.8603966584429,-1.00757023272646
-17.173948996043,-1.09021764487422
-15.9937573053441,-1.0194596139895
-16.9893003946069,-1.08014825462158
-16.7323548962896,-1.06330499074473
-17.0030333817283,-1.08473277458642
-17.3456248946647,-1.10131020956587
-14.6934023330635,-0.935598213231792
-18.4525149380317,-1.16097226933058
-16.7330142823844,-1.06380136365725
-15.9920581595153,-1.02176127336902
-17.5308576763839,-1.11005908121591
-16.5003208244576,-1.04781380499105
-14.7635513553925,-0.939766625635286
-16.1936309188869,-1.031441670624
-15.1303078687645,-0.962662215205412
-14.4632803964649,-0.917053609761335
-15.3773974296107,-0.980344300423563
-16.9980944411392,-1.08244962849248
-15.4156719734096,-0.983014403029698
-15.8137420662545,-1.00513113358241
-15.963112074787,-1.01428467664284
-15.7035359186237,-0.998148299380357
-14.5642947184257,-0.931614087042935
-15.1928846972233,-0.971390417152773
-16.6449120718248,-1.06329982236581
-14.7927820681365,-0.9427809517731
-17.2086041858492,-1.09838093503016
-14.3785685158576,-0.913874735194428
-16.7309498556147,-1.06146614289022
-14.9963613402906,-0.953670364488162
-16.3816471234751,-1.04049677310198
-16.5266723691315,-1.05573529495368
-15.9389415194988,-1.0085214500039
-14.7980336171241,-0.947881121062898
-16.1153639315265,-1.0283207396951
-15.0465744773842,-0.960131129096017
-15.7136162301864,-1.01293928781218
-16.1795166468349,-1.0299280142335
-15.8266431705528,-1.00826641138421
-16.492902849892,-1.05343293603454
-16.3020038099219,-1.04030302892917
-15.0994276671911,-0.960717263204874
-15.168867236145,-0.961450806824092
-16.6291300056933,-1.05967717136495
-18.1752594384782,-1.13826502279588
-14.9549487855296,-0.953295871240445
-15.203111018863,-0.966505192596509
-15.8495505382927,-1.00939257472514
-16.3337046683192,-1.03795881544824
-14.6023770453772,-0.922688597676282
-16.5758897716935,-1.05748870900634
-15.7317360409783,-1.00046567298484
-15.8285943145797,-1.00858154873726
-14.6519587224276,-0.944675608672303
-15.3907559020202,-0.9805008858058
-16.4742088240235,-1.04836919938611
-15.1440939959553,-0.968590373343163
-15.4486605581735,-0.983995125630844
-17.0094687665042,-1.0831609273123
-16.418497999601,-1.04382465328762
-16.2567523643462,-1.03823537568804
-16.3353670997117,-1.04100500107885
-14.4693445331266,-0.919336679568666
-16.1300816901838,-1.03293658655012
-16.6073034598164,-1.0561524632853
-15.8203556257112,-1.00865558048486
-15.6892906528672,-0.997672682383331
-14.6913755954356,-0.925951395110613
-18.0024830261235,-1.13110211681601
-14.4416312248861,-0.922226299831868
-15.8747622274815,-1.00788099904155
-16.1239273533742,-1.02613823224667
-17.2072588593484,-1.08249113002091
-14.3198163061915,-0.908816675926638
-16.8406055357275,-1.07158805424132
-15.2983688853497,-0.975328332371706
-16.7250905428849,-1.0643325074357
-17.2086237659126,-1.09800071294837
-15.8948613478649,-1.0150471773281
-15.509926757494,-0.979362945629447
-17.5904087336169,-1.11365342166858
-14.9920348150546,-0.945535676239377
-13.8946947139482,-0.882954899981974
-15.4985435688419,-0.988514058299128
-15.5081265500338,-0.988607843488117
-16.3910435139103,-1.0518164217192
-14.7236365907797,-0.945809294598117
-15.4406553729897,-0.983753027745702
-16.8868222191919,-1.07114147193705
-15.3930610564253,-0.977804652360632
-14.3940879599726,-0.916121738348738
-15.973164036099,-1.0158301773442
-15.7484317944888,-1.00373572114206
-16.365822180803,-1.03505688143804
