T,mean_phi_hat,sd_phi_hat,bias,rej_H0_phi0_rate
50,0.868168250097065,0.0756236599221407,-0.031831749902935,1
100,0.883969134904865,0.0493284761670316,-0.0160308650951348,1
200,0.89083833527885,0.0321608171029231,-0.00916166472114976,1
1000,0.898278881807652,0.013774414270089,-0.00172111819234833,1
